Epoch: 113, aver_loss : 0.05850, R@20: 0.1440, N@20: 0.1042, R@10: 0.0874, N@10: 0.0790, R@50: 0.2624, N@50: 0.1459
Epoch: 114, aver_loss : 0.05945, R@20: 0.1446, N@20: 0.1045, R@10: 0.0878, N@10: 0.0792, R@50: 0.2625, N@50: 0.1460
Epoch: 115, aver_loss : 0.05870, R@20: 0.1447, N@20: 0.1045, R@10: 0.0879, N@10: 0.0792, R@50: 0.2628, N@50: 0.1461
Epoch: 116, aver_loss : 0.05856, R@20: 0.1447, N@20: 0.1047, R@10: 0.0882, N@10: 0.0795, R@50: 0.2632, N@50: 0.1464
Epoch: 117, aver_loss : 0.05805, R@20: 0.1448, N@20: 0.1048, R@10: 0.0882, N@10: 0.0796, R@50: 0.2634, N@50: 0.1466
Epoch: 118, aver_loss : 0.05772, R@20: 0.1449, N@20: 0.1048, R@10: 0.0881, N@10: 0.0796, R@50: 0.2633, N@50: 0.1466
Epoch: 119, aver_loss : 0.05767, R@20: 0.1453, N@20: 0.1050, R@10: 0.0882, N@10: 0.0796, R@50: 0.2639, N@50: 0.1468
Epoch: 120, aver_loss : 0.05714, R@20: 0.1452, N@20: 0.1050, R@10: 0.0886, N@10: 0.0798, R@50: 0.2640, N@50: 0.1469
Epoch: 121, aver_loss : 0.05695, R@20: 0.1453, N@20: 0.1051, R@10: 0.0886, N@10: 0.0799, R@50: 0.2642, N@50: 0.1470
Epoch: 122, aver_loss : 0.05697, R@20: 0.1455, N@20: 0.1052, R@10: 0.0887, N@10: 0.0799, R@50: 0.2642, N@50: 0.1471
Epoch: 123, aver_loss : 0.05643, R@20: 0.1457, N@20: 0.1054, R@10: 0.0887, N@10: 0.0800, R@50: 0.2649, N@50: 0.1474
Epoch: 124, aver_loss : 0.05679, R@20: 0.1458, N@20: 0.1055, R@10: 0.0887, N@10: 0.0800, R@50: 0.2649, N@50: 0.1474
Epoch: 125, aver_loss : 0.05655, R@20: 0.1458, N@20: 0.1055, R@10: 0.0891, N@10: 0.0803, R@50: 0.2651, N@50: 0.1476
Epoch: 126, aver_loss : 0.05632, R@20: 0.1461, N@20: 0.1057, R@10: 0.0889, N@10: 0.0802, R@50: 0.2652, N@50: 0.1477
Epoch: 127, aver_loss : 0.05615, R@20: 0.1462, N@20: 0.1059, R@10: 0.0891, N@10: 0.0804, R@50: 0.2656, N@50: 0.1480
Epoch: 128, aver_loss : 0.05598, R@20: 0.1464, N@20: 0.1060, R@10: 0.0893, N@10: 0.0806, R@50: 0.2659, N@50: 0.1481
Epoch: 129, aver_loss : 0.05524, R@20: 0.1465, N@20: 0.1061, R@10: 0.0895, N@10: 0.0807, R@50: 0.2658, N@50: 0.1481
Epoch: 130, aver_loss : 0.05520, R@20: 0.1469, N@20: 0.1063, R@10: 0.0894, N@10: 0.0807, R@50: 0.2664, N@50: 0.1484
Epoch: 131, aver_loss : 0.05523, R@20: 0.1467, N@20: 0.1062, R@10: 0.0895, N@10: 0.0807, R@50: 0.2664, N@50: 0.1483
Epoch: 132, aver_loss : 0.05508, R@20: 0.1470, N@20: 0.1065, R@10: 0.0896, N@10: 0.0810, R@50: 0.2664, N@50: 0.1486
Epoch: 133, aver_loss : 0.05450, R@20: 0.1473, N@20: 0.1066, R@10: 0.0897, N@10: 0.0809, R@50: 0.2669, N@50: 0.1487
Epoch: 134, aver_loss : 0.05416, R@20: 0.1471, N@20: 0.1066, R@10: 0.0897, N@10: 0.0811, R@50: 0.2671, N@50: 0.1489
Epoch: 135, aver_loss : 0.05400, R@20: 0.1473, N@20: 0.1067, R@10: 0.0899, N@10: 0.0811, R@50: 0.2671, N@50: 0.1489
Epoch: 136, aver_loss : 0.05390, R@20: 0.1474, N@20: 0.1068, R@10: 0.0899, N@10: 0.0812, R@50: 0.2674, N@50: 0.1490
Epoch: 137, aver_loss : 0.05355, R@20: 0.1473, N@20: 0.1068, R@10: 0.0902, N@10: 0.0814, R@50: 0.2679, N@50: 0.1493
Epoch: 138, aver_loss : 0.05402, R@20: 0.1476, N@20: 0.1070, R@10: 0.0902, N@10: 0.0815, R@50: 0.2679, N@50: 0.1494
Epoch: 139, aver_loss : 0.05353, R@20: 0.1478, N@20: 0.1072, R@10: 0.0902, N@10: 0.0815, R@50: 0.2682, N@50: 0.1496
Epoch: 140, aver_loss : 0.05309, R@20: 0.1479, N@20: 0.1073, R@10: 0.0902, N@10: 0.0816, R@50: 0.2681, N@50: 0.1497
Epoch: 141, aver_loss : 0.05252, R@20: 0.1482, N@20: 0.1075, R@10: 0.0903, N@10: 0.0817, R@50: 0.2681, N@50: 0.1497
Epoch: 142, aver_loss : 0.05260, R@20: 0.1482, N@20: 0.1076, R@10: 0.0904, N@10: 0.0819, R@50: 0.2682, N@50: 0.1499
Epoch: 143, aver_loss : 0.05242, R@20: 0.1482, N@20: 0.1076, R@10: 0.0904, N@10: 0.0818, R@50: 0.2687, N@50: 0.1500
Epoch: 144, aver_loss : 0.05175, R@20: 0.1485, N@20: 0.1077, R@10: 0.0905, N@10: 0.0819, R@50: 0.2690, N@50: 0.1502
Epoch: 145, aver_loss : 0.05195, R@20: 0.1485, N@20: 0.1079, R@10: 0.0907, N@10: 0.0821, R@50: 0.2688, N@50: 0.1503
Epoch: 146, aver_loss : 0.05190, R@20: 0.1488, N@20: 0.1080, R@10: 0.0908, N@10: 0.0822, R@50: 0.2690, N@50: 0.1504
Epoch: 147, aver_loss : 0.05192, R@20: 0.1489, N@20: 0.1082, R@10: 0.0910, N@10: 0.0824, R@50: 0.2693, N@50: 0.1506
Epoch: 148, aver_loss : 0.05132, R@20: 0.1491, N@20: 0.1082, R@10: 0.0910, N@10: 0.0823, R@50: 0.2694, N@50: 0.1506
Epoch: 149, aver_loss : 0.05089, R@20: 0.1490, N@20: 0.1083, R@10: 0.0910, N@10: 0.0824, R@50: 0.2696, N@50: 0.1508
Epoch: 150, aver_loss : 0.05103, R@20: 0.1492, N@20: 0.1084, R@10: 0.0910, N@10: 0.0824, R@50: 0.2699, N@50: 0.1509
Epoch: 151, aver_loss : 0.05060, R@20: 0.1493, N@20: 0.1084, R@10: 0.0915, N@10: 0.0827, R@50: 0.2697, N@50: 0.1509
Epoch: 152, aver_loss : 0.05048, R@20: 0.1497, N@20: 0.1087, R@10: 0.0915, N@10: 0.0827, R@50: 0.2700, N@50: 0.1511
Epoch: 153, aver_loss : 0.05011, R@20: 0.1494, N@20: 0.1086, R@10: 0.0913, N@10: 0.0827, R@50: 0.2699, N@50: 0.1511
Epoch: 154, aver_loss : 0.04949, R@20: 0.1494, N@20: 0.1085, R@10: 0.0914, N@10: 0.0826, R@50: 0.2702, N@50: 0.1511
Epoch: 155, aver_loss : 0.04998, R@20: 0.1496, N@20: 0.1087, R@10: 0.0915, N@10: 0.0828, R@50: 0.2700, N@50: 0.1511
Epoch: 156, aver_loss : 0.04941, R@20: 0.1496, N@20: 0.1087, R@10: 0.0916, N@10: 0.0828, R@50: 0.2704, N@50: 0.1513
Epoch: 157, aver_loss : 0.04902, R@20: 0.1497, N@20: 0.1088, R@10: 0.0918, N@10: 0.0830, R@50: 0.2705, N@50: 0.1514
Epoch: 158, aver_loss : 0.04889, R@20: 0.1499, N@20: 0.1089, R@10: 0.0921, N@10: 0.0832, R@50: 0.2707, N@50: 0.1515
Epoch: 159, aver_loss : 0.04838, R@20: 0.1501, N@20: 0.1092, R@10: 0.0922, N@10: 0.0834, R@50: 0.2713, N@50: 0.1519
Epoch: 160, aver_loss : 0.04890, R@20: 0.1502, N@20: 0.1092, R@10: 0.0920, N@10: 0.0833, R@50: 0.2711, N@50: 0.1519
Epoch: 161, aver_loss : 0.04835, R@20: 0.1503, N@20: 0.1093, R@10: 0.0923, N@10: 0.0835, R@50: 0.2713, N@50: 0.1520
Epoch: 162, aver_loss : 0.04843, R@20: 0.1504, N@20: 0.1093, R@10: 0.0923, N@10: 0.0834, R@50: 0.2713, N@50: 0.1519
Epoch: 163, aver_loss : 0.04756, R@20: 0.1505, N@20: 0.1093, R@10: 0.0923, N@10: 0.0834, R@50: 0.2714, N@50: 0.1520
Epoch: 164, aver_loss : 0.04776, R@20: 0.1506, N@20: 0.1096, R@10: 0.0923, N@10: 0.0836, R@50: 0.2717, N@50: 0.1523
Epoch: 165, aver_loss : 0.04767, R@20: 0.1509, N@20: 0.1096, R@10: 0.0925, N@10: 0.0836, R@50: 0.2717, N@50: 0.1522
Epoch: 166, aver_loss : 0.04703, R@20: 0.1512, N@20: 0.1098, R@10: 0.0929, N@10: 0.0839, R@50: 0.2720, N@50: 0.1524
Epoch: 167, aver_loss : 0.04714, R@20: 0.1510, N@20: 0.1097, R@10: 0.0926, N@10: 0.0837, R@50: 0.2718, N@50: 0.1523
Epoch: 168, aver_loss : 0.04677, R@20: 0.1512, N@20: 0.1098, R@10: 0.0925, N@10: 0.0836, R@50: 0.2716, N@50: 0.1522
Epoch: 169, aver_loss : 0.04654, R@20: 0.1514, N@20: 0.1100, R@10: 0.0928, N@10: 0.0839, R@50: 0.2721, N@50: 0.1525
Epoch: 170, aver_loss : 0.04628, R@20: 0.1514, N@20: 0.1099, R@10: 0.0928, N@10: 0.0837, R@50: 0.2719, N@50: 0.1523
Epoch: 171, aver_loss : 0.04612, R@20: 0.1516, N@20: 0.1101, R@10: 0.0928, N@10: 0.0839, R@50: 0.2722, N@50: 0.1526
Epoch: 172, aver_loss : 0.04571, R@20: 0.1517, N@20: 0.1102, R@10: 0.0926, N@10: 0.0839, R@50: 0.2725, N@50: 0.1527
